#Name		M_i	M_i_l	M_i_u	M_f	M_f_err	Source
WD0642-28	1.26	1.11	1.45	0.53	0.06	Z12
WD1706+33	2.24	1.75	2.67	0.52	0.03	Z12
WD2253-08*	1.20	1.02	1.50	0.76	0.08	Z12
WD2350-083	1.21	1.07	1.36	0.56	0.04	Z12
WD0030+44	1.11	0.99	1.26	0.60	0.02	Z12
WD0615-591	1.45	1.29	1.65	0.61	0.03	Z12
WD0845-188	2.08	1.72	2.55	0.58	0.03	Z12
WD0315-011	1.48	0.28	0.87	0.60	0.20	C08
WD0413-017*	2.07	0.27	0.53	0.54	0.02	C08
WD1354+340	1.46	0.09	0.31	0.50	0.04	C08
WD1544-377*	4.13	1.49	9.99	0.78	0.02	C08
WD1620-391*	3.45	0.35	0.65	0.63	0.01	C08
WD1659-531	1.58	0.05	0.08	0.66	0.01	C08
