HS0507 0.629 0.029 4.99e7 6.7e6 0.649 0.030 4.06e8 3.3e7
HS2240 0.636 0.026 1.97e8 1.7e7 0.668 0.028 2.72e8 2.5e7
J0332* 0.594 0.022 6.0e6 3.0e5 0.661 0.036 5.44e8 5.2e7
J0754 0.755 0.074 3.35e8 9.5e7 0.801 0.072 4.15e8 9.1e7
J0827 0.933 0.035 6.8e7 1.1e7 0.989 0.039 7.9e7 1.4e7
J0859 0.602 0.034 1.94e8 2.3e7 0.718 0.045 4.70e8 5.9e7
J1231 0.618 0.031 1.85e8 1.9e7 0.556 0.046 4.04e8 4.7e7
J1257 0.552 0.089 3.50e8 8.3e7 0.579 0.029 2.0e6 1.0e5
J1313 0.823 0.037 3.82e8 4.9e7 0.726 0.033 3.22e8 3.3e7
J1552 0.679 0.044 1.48e8 2.3e7 0.707 0.037 1.07e8 1.6e7
J2222 0.719 0.033 2.95e8 3.5e7 0.653 0.038 4.42e8 4.5e7
J2223 0.692 0.022 2.83e8 2.2e7 0.836 0.022 1.78e8 1.3e7
J2224 0.702 0.036 6.04e8 6.1e7 0.631 0.031 2.74e8 2.7e7
J2303 0.777 0.065 3.39e8 8.4e7 0.635 0.054 2.64e8 5.4e7
J2319 0.684 0.030 1.83e8 1.8e7 0.641 0.032 2.55e8 3.1e7
LP128* 0.652 0.034 2.69e8 3.4e7 0.590 0.034 4.08e8 3.7e7
LP370 0.710 0.055 1.67e9 3.2e8 0.681 0.061 1.72e9 3.5e8
PG0922 0.797 0.028 5.9e7 9.0e6 1.220 0.023 2.27e8 2.3e7
PG1017 0.681 0.030 3.17e8 2.8e7 0.622 0.024 4.1e7 6.0e6
