#M_i M_1TP M_WD
1.00 0.518 0.541 
1.05 0.521 0.543 
1.10 0.523 0.546 
1.15 0.522 0.555 
1.20 0.524 0.558 
1.25 0.524 0.565 
1.30 0.526 0.566 
1.35 0.528 0.570 
1.40 0.529 0.576 
1.45 0.529 0.582 
1.50 0.524 0.588 
1.55 0.524 0.594 
1.60 0.528 0.598 
1.65 0.521 0.604 
1.70 0.520 0.609 
1.75 0.514 0.615 
1.80 0.513 0.621 
1.85 0.507 0.627 
1.90 0.499 0.632 
1.93 0.493 0.634 
1.95 0.491 0.634 
2.00 0.498 0.638 
2.05 0.499 0.642 
2.10 0.508 0.647 
2.15 0.511 0.653 
2.20 0.515 0.651 
2.25 0.517 0.650 
2.30 0.524 0.654 
2.40 0.534 0.655 
2.60 0.564 0.670 
2.80 0.597 0.697 
3.00 0.637 0.726 
3.20 0.681 0.763 
3.40 0.724 0.787 
3.60 0.751 0.812 
3.80 0.762 0.832 
4.00 0.773 0.853 
4.20 0.786 0.875 
4.40 0.803 0.898 
