#Cluster Obj Mi Mi_l Mi_u Mf Mf_err
NGC6819 NGC6819_6 1.60 0.05 0.06 0.56 0.02
NGC6819 NGC6819_7 1.62 0.05 0.07 0.59 0.02
NGC7789 NGC7789_5 2.02 0.14 0.07 0.64 0.03
NGC7789 NGC7789_8 2.02 0.11 0.09 0.66 0.04
Hyades WD0352+096 3.59 0.15 0.21 0.80 0.05
Hyades WD0406+169 3.49 0.10 0.13 0.85 0.03
Hyades WD0421+162 2.90 0.02 0.02 0.70 0.03
Hyades WD0425+168 2.79 0.01 0.01 0.71 0.03
Hyades WD0431+126 2.84 0.02 0.02 0.69 0.03
Hyades WD0437+138 3.41 0.15 0.21 0.74 0.06
Hyades WD0438+108 2.78 0.01 0.01 0.73 0.03
Hyades WD0348+339 3.55 0.14 0.19 0.80 0.05
Hyades HS0400+1451 3.49 0.03 0.03 0.76 0.01
Hyades WD0625+415 2.97 0.03 0.03 0.66 0.03
Hyades WD0637+477 3.59 0.18 0.26 0.80 0.04
Praesepe WD0833+194 3.41 0.09 0.16 0.79 0.04
Praesepe WD0836+199 3.59 0.13 0.18 0.82 0.04
Praesepe WD0837+185 3.66 0.16 0.21 0.87 0.04
Praesepe WD0837+199 3.13 0.05 0.06 0.80 0.04
Praesepe WD0840+190 3.97 0.24 0.40 0.91 0.05
Praesepe WD0840+200 3.39 0.09 0.12 0.79 0.04
Praesepe WD0843+184 3.77 0.18 0.27 0.89 0.05 
