#Name		T_eff	T_err	log_g	g_err	Source	M_wd	M_wd_l	M_wd_u	M_i	M_i_l	M_i_u
LB1497		32841	170	8.630	0.040	Pleiad	1.028	0.031	0.031	7.847	1.257	3.069
0352+098	16630	350	8.160	0.050	Hyades	0.713	0.031	0.031	3.067	0.100	0.107
0406+169	15180	350	8.300	0.050	Hyades	0.798	0.032	0.033	3.383	0.174	0.208
0421+162	19570	350	8.090	0.050	Hyades	0.679	0.031	0.031	2.887	0.076	0.079
0425+168	24420	350	8.110	0.050	Hyades	0.699	0.031	0.031	2.771	0.067	0.066
0431+125	21340	350	8.040	0.050	Hyades	0.652	0.032	0.032	2.815	0.071	0.071
0438+108	27390	350	8.070	0.050	Hyades	0.684	0.032	0.031	2.746	0.063	0.064
0437+138	15340	350	8.260	0.050	Hyades	0.773	0.032	0.033	3.284	0.151	0.172
0836+197	21950	350	8.450	0.050	Praese	0.901	0.034	0.034	2.799	0.094	0.106
0836+201	16630	350	8.010	0.050	Praese	0.622	0.028	0.032	2.827	0.099	0.112
0836+199	14060	630	8.340	0.060	Praese	0.820	0.040	0.039	3.543	0.337	0.548
0837+199	17100	350	8.320	0.050	Praese	0.812	0.034	0.034	2.972	0.130	0.148
0837+218	16833	250	8.390	0.030	Praese	0.857	0.023	0.022	3.058	0.153	0.174
0837+185	14748	400	8.240	0.050	Praese	0.759	0.032	0.033	3.179	0.183	0.221
0840+200	14180	350	8.230	0.050	Praese	0.751	0.033	0.033	3.282	0.206	0.260
0833+194	14999	250	8.180	0.040	Praese	0.722	0.026	0.027	3.045	0.146	0.167
0840+190	14765	270	8.210	0.030	Praese	0.740	0.021	0.021	3.130	0.160	0.188
0840+205	14527	390	8.240	0.040	Praese	0.759	0.027	0.027	3.223	0.189	0.232
0843+184	14498	200	8.220	0.040	Praese	0.746	0.027	0.027	3.200	0.175	0.210
2516-1		28170	310	8.480	0.170	NGC2516	0.926	0.106	0.105	5.856	1.133	3.679
2516-2		34200	610	8.600	0.110	NGC2516	1.008	0.071	0.070	5.269	0.837	1.899
2516-3		26870	330	8.550	0.070	NGC2516	0.970	0.045	0.045	6.766	1.541	7.174
2516-5		30760	420	8.700	0.120	NGC2516	1.075	0.078	0.078	6.492	1.415	5.640
3532-8		23370	1065	7.713	0.148	NGC3532	0.482	0.085	0.076	3.132	0.252	0.369
3532-9		29800	616	7.827	0.229	NGC3532	0.563	0.169	0.145	3.085	0.243	0.348
3532-10		19270	974	8.143	0.266	NGC3532	0.708	0.150	0.164	3.466	0.399	0.620
2099-WD2	19900	900	8.110	0.160	NGC2099	0.690	0.093	0.096	3.934	0.248	0.326
2099-WD3	18300	900	8.230	0.210	NGC2099	0.759	0.128	0.133	4.372	0.436	0.940
2099-WD4	16900	1100	8.400	0.260	NGC2099	0.864	0.163	0.164	6.307	1.557	99.90
2099-WD5	18300	1000	8.330	0.220	NGC2099	0.821	0.135	0.139	4.666	0.567	1.891
2099-WD7	17800	1400	8.420	0.320	NGC2099	0.877	0.198	0.203	5.497	1.099	99.90
2099-WD9	15300	400	8.000	0.080	NGC2099	0.614	0.044	0.051	4.689	0.437	0.693
2099-WD10	19300	400	8.200	0.070	NGC2099	0.742	0.044	0.044	4.153	0.238	0.305
2099-WD11	23000	600	8.540	0.100	NGC2099	0.959	0.065	0.064	4.198	0.274	0.382
2099-WD12	13300	1000	7.910	0.120	NGC2099	0.561	0.080	0.067	5.680	1.022	4.981
2099-WD13	18200	400	8.270	0.080	NGC2099	0.783	0.050	0.052	4.471	0.364	0.519
2099-WD14	11400	200	7.730	0.160	NGC2099	0.448	0.129	0.123	8.210	2.545	99.90
2099-WD16	13100	500	8.340	0.100	NGC2099	0.818	0.064	0.066	99.90	99.90	99.90
2168-LAWDS1	32400	512	8.400	0.125	NGC2168	0.884	0.078	0.079	5.209	0.595	0.928
2168-LAWDS2	32700	603	8.340	0.080	NGC2168	0.849	0.051	0.050	5.111	0.522	0.796	
2168-LAWDS5	52600	1160	8.240	0.095	NGC2168	0.820	0.055	0.056	4.903	0.387	0.605
2168-LAWDS6	55200	897	8.280	0.065	NGC2168	0.845	0.041	0.040	4.899	0.385	0.602
2168-LAWDS15	29900	318	8.480	0.060	NGC2168	0.928	0.040	0.040	5.767	0.862	1.670
2168-LAWDS27	30500	397	8.520	0.061	NGC2168	0.955	0.041	0.041	5.804	0.869	1.669
#Sirius_B	25193	37	8.566	0.010	Sirius	0.978	0.016	0.016	5.934	1.139	3.904
7789-5		31213	238	7.904	0.054	NGC7789	0.601	0.028	0.029	1.853	0.096	0.128
7789-8		24319	447	8.004	0.066	NGC7789	0.637	0.037	0.039	1.864	0.100	0.132
7789-9		20939	727	7.838	0.115	NGC7789	0.543	0.059	0.058	1.871	0.101	0.134
6819-6		21094	252	7.832	0.036	NGC6819	0.540	0.021	0.019	1.736	0.090	0.117
6819-7		15971	197	7.908	0.038	NGC6819	0.566	0.023	0.021	1.770	0.097	0.130
1039-LAWDS15	25900	1100	8.380	0.120	NGC1039	0.863	0.075	0.075	4.124	0.364	0.514
1039-LAWDS17	24700	1100	8.440	0.120	NGC1039	0.899	0.076	0.076	4.319	0.435	0.659
1039-LAWDSS2	31200	1100	8.320	0.120	NGC1039	0.834	0.072	0.076	3.835	0.279	0.348
